
218	117	63	215	136	63	220	118	68
546	300	157	538	346	157	547	302	169
1004	557	287	992	638	287	1010	561	309
1644	932	477	1626	1058	477	1659	941	516
2452	1402	715	2423	1582	713	2482	1420	776
3429	1983	994	3385	2219	995	3472	2011	1083
4666	2723	1337	4601	3023	1337	4727	2762	1462
6180	3637	1765	6089	4007	1763	6272	3692	1943
8008	4766	2275	7879	5224	2274	8122	4836	2515
10021	6022	2845	9844	6571	2846	10146	6106	3149
12628	7619	3568	12396	8260	3576	12761	7711	3964
15546	9441	4359	15245	10178	4375	15701	9539	4863
18920	11544	5267	18532	12388	5288	19105	11654	5894
22778	13968	6324	22284	14912	6351	23003	14095	7105
27331	16795	7541	26709	17835	7569	27576	16927	8484
32388	19954	8880	31603	21093	8921	32633	20084	10026







































