
273	144	82	270	167	81	277	147	86
682	361	197	672	416	196	687	365	209
1219	647	346	1205	740	346	1230	657	369
1930	1048	544	1904	1195	544	1942	1062	586
2868	1562	795	2830	1775	795	2883	1583	859
4090	2262	1135	4038	2552	1134	4122	2292	1225
5532	3082	1519	5460	3461	1520	5579	3121	1648
7279	4104	1979	7181	4579	1982	7355	4158	2163
9520	5391	2547	9381	5984	2554	9628	5462	2800
12276	6979	3255	12087	7700	3266	12436	7068	3596
15434	8829	4047	15194	9692	4068	15633	8933	4502







































